date,open,high,low,close,volume
03-01-2022,145.0549927,145.8509979,143.7129974,144.9915009,28646000
04-01-2022,145.3959961,146.4850006,143.716507,144.3995056,28400000
05-01-2022,144.4199982,144.4994965,137.6880035,137.7749939,54618000
06-01-2022,136.9985046,139.9400024,136.5585022,137.7474976,37348000
07-01-2022,138.1454926,138.4485016,135.7664948,137.0169983,29760000
10-01-2022,135.0780029,138.8195038,133.164505,138.6694946,44408000
11-01-2022,138.0070038,140.2160034,136.6925049,139.7359924,28730000
12-01-2022,141.1499939,142.6080017,140.6945038,141.4304962,26108000
13-01-2022,141.5399933,142.8500061,138.4089966,138.5870056,31436000
14-01-2022,137.0789948,140.7420044,136.9985046,139.4804993,29662000
18-01-2022,136.1750031,137.1315002,135.4385071,135.9980011,34872000
19-01-2022,136.5234985,137.9595032,135.0155029,135.1165009,28648000
20-01-2022,136.25,137.6260071,132.9644928,133.3074951,29908000
21-01-2022,132.5935059,134.8654938,130.0865021,130.3515015,55652000
24-01-2022,125.9779968,131.2030029,124.5,130.8040009,76622000
25-01-2022,128.7400055,129.3990021,126.5005035,126.9349976,46960000
26-01-2022,131.1190033,133,127.1419983,129.2330017,49130000
27-01-2022,131.3040009,132.6524963,128.9324951,129.0050049,31950000
28-01-2022,129.6589966,133.3565063,128.4850006,133.3509979,34362000
31-01-2022,134.1620026,135.4730072,132.2095032,135.3034973,39986000
01-02-2022,137.5944977,137.7929993,134.3684998,137.6439972,68644000
02-02-2022,151.25,151.5464935,145.5225067,148,123200000
03-02-2022,145.7055054,149.6750031,142.6654968,143.0899963,71518000
04-02-2022,143.4445038,144.875,140.5149994,143.2929993,57998000
07-02-2022,144.25,144.25,138.8999939,139.201004,54974000
08-02-2022,139.0265045,140,137.0140076,139.3990021,54284000
09-02-2022,140.963501,142.5245056,140.1869965,141.5919952,40144000
10-02-2022,139.7035065,141.4844971,137.9570007,138.6199951,39330000
11-02-2022,138.6000061,139.1564941,133.3999939,134.2825012,39958000
14-02-2022,133.2565002,136.3000031,133.2565002,135.526001,34302000
15-02-2022,137.5704956,138.1085052,135.8215027,136.6085052,26680000
16-02-2022,136.6464996,138.0859985,134.923996,137.7380066,25022000
