date,open,high,low,close,volume
29-12-2023,3792,3822.6,3765.4,3793.4,1574996
28-12-2023,3824,3838,3792.1,3799.9,1682889
27-12-2023,3799,3818.2,3768,3811.2,1293976
26-12-2023,3819.85,3834,3790.15,3795.55,1285231
22-12-2023,3800,3845.95,3762,3824,2413058
21-12-2023,3756.25,3806.7,3743.35,3787.5,1517562
20-12-2023,3827.25,3898.8,3766.55,3780.05,2586083
19-12-2023,3845,3855.1,3790,3816.2,2004435
18-12-2023,3858.1,3929,3830.15,3859.2,2521612
15-12-2023,3666.7,3895.95,3666.7,3861,8531230
14-12-2023,3630,3678,3627.6,3667.25,3290396
13-12-2023,3643.55,3650,3563,3593.55,3850968
12-12-2023,3638.95,3698.4,3631,3672.1,2236866
11-12-2023,3622.9,3653,3615,3642.9,1102503
08-12-2023,3633,3645,3602.05,3626.7,1641155
07-12-2023,3605,3630.55,3591.7,3614.9,1967653
06-12-2023,3532.6,3612.85,3525.15,3604.1,1896572
05-12-2023,3538,3538,3502.8,3531.6,1377656
04-12-2023,3544.65,3547.8,3498,3512.45,1625213
01-12-2023,3500,3516.95,3490.05,3511.65,1172141
30-11-2023,3499.45,3516.65,3481,3487.6,3266235
29-11-2023,3481,3518,3475.8,3513.75,1441634
28-11-2023,3457.1,3481.25,3433,3470.15,1689195
24-11-2023,3494.25,3504.55,3453,3457.1,1989733
23-11-2023,3530,3544,3500,3508.25,2729804
22-11-2023,3500,3532.65,3481.1,3530.15,1798051
21-11-2023,3519.6,3539.05,3501,3510.2,1807236
20-11-2023,3491.25,3533.9,3491.25,3519.6,1475621
17-11-2023,3497.85,3524.5,3492.55,3502.45,2021292
16-11-2023,3430.05,3529.35,3414.2,3497.85,3951984
15-11-2023,3383.1,3413,3356.05,3404.3,2059802
13-11-2023,3356,3356,3327,3331.55,1030990
12-11-2023,3350,3359,3345,3357.3,173346
10-11-2023,3338,3347.45,3322.35,3333.45,1338557
09-11-2023,3390.1,3391.5,3342.05,3347.45,2112352
08-11-2023,3371.45,3401.95,3369.55,3381.55,992899
07-11-2023,3378,3404.15,3366,3370.45,1191144
06-11-2023,3375,3392.3,3359,3380.25,1099852
03-11-2023,3382,3387.9,3344.3,3350.9,1402598
02-11-2023,3343.2,3375.95,3343.2,3360.1,1245384
01-11-2023,3355,3371.6,3311,3330.65,1563475
31-10-2023,3399,3399,3350.05,3368.75,999811
30-10-2023,3350,3382.85,3333.75,3378.55,910972
27-10-2023,3350,3362,3337,3350.95,1108851
26-10-2023,3368.05,3373.7,3330,3336.75,1984471
25-10-2023,3390.5,3425,3377.2,3390.1,1518537
23-10-2023,3473,3478.95,3401.3,3410.15,1106272
20-10-2023,3450.4,3499.5,3444.05,3494.55,1481211
19-10-2023,3469.5,3476.85,3451.9,3455.65,1514545
18-10-2023,3511,3522.7,3484,3487.25,1408245
17-10-2023,3530,3534.15,3503.35,3507.05,1672065
16-10-2023,3566,3574.65,3519.1,3524.05,1671104
13-10-2023,3530,3577,3525,3570.85,2890357
12-10-2023,3575,3588.65,3538.1,3542.55,4241281
11-10-2023,3650,3650,3605,3609.9,2426417
10-10-2023,3640.05,3648,3601.35,3628.9,1848148
09-10-2023,3645.05,3679,3631,3638.35,4233074
06-10-2023,3591,3634.95,3575.05,3621.4,2075691
05-10-2023,3554,3624,3551.2,3589.35,2990768
04-10-2023,3486.3,3548,3477.3,3537.75,1788138
03-10-2023,3534.2,3534.2,3480.1,3513.85,1948148
29-09-2023,3537.2,3568.45,3505.55,3528.6,2243791
28-09-2023,3600,3602.8,3527.35,3536.75,1755753
27-09-2023,3590,3614,3555.7,3589.3,1541134
26-09-2023,3567.6,3594.95,3536,3585.7,1726062
25-09-2023,3602.5,3620,3558.65,3577.15,1238778
22-09-2023,3584,3633.75,3565.05,3603.65,1989083
21-09-2023,3588.55,3605,3528,3585.3,2004073
20-09-2023,3580,3625,3580,3606.05,1649396
